,Symbol,Count Month,From,To,Min,Max,Mean Price,STD Price,Mean Volume,STD Volume,Month 1,Month Full
37,MIG,1.1,24.35,24.5,23.2,28.61,26.04,1.54,"2,095,936.36","914,575.69",0.62,0.56
38,FIR,1.1,42.4,42.6,39.3,44.4,41.87,1.39,"275,418.18","42,993.99",0.47,0.43
39,SHI,1.1,14.95,15.0,14.0,15.05,14.74,0.28,"365,286.36","148,508.60",0.33,0.3
40,VNM,1.1,71.3,71.5,64.5,73.7,70.05,2.37,"1,978,318.18","894,115.82",0.28,0.25
41,DDG,1.1,39.4,39.4,38.9,40.0,39.36,0.34,"188,502.59","54,589.34",0.0,0.0
42,IJC,1.1,18.4,18.35,17.5,21.8,19.74,1.36,"1,637,886.36","617,643.78",-0.27,-0.25
43,NAG,1.1,13.81,13.7,12.84,14.3,13.57,0.39,"194,093.41","54,610.27",-0.82,-0.74
44,KOS,1.1,33.9,33.6,32.0,33.9,33.15,0.45,"328,754.55","166,904.25",-0.88,-0.8
45,VOS,1.1,15.75,15.6,13.25,16.65,15.42,0.93,"1,468,563.64","493,243.53",-0.95,-0.87
46,PPC,1.1,17.8,17.6,17.6,19.7,18.28,0.7,"157,081.82","85,173.42",-1.12,-1.02
47,CTF,1.1,25.7,25.4,24.95,26.2,25.29,0.32,"379,213.64","83,345.54",-1.17,-1.06
48,AGG,1.1,38.35,37.85,37.75,39.9,38.12,0.58,"325,845.45","156,533.43",-1.3,-1.19
49,DRI,1.1,12.7,12.5,11.6,14.4,12.9,0.85,"473,060.91","198,098.95",-1.57,-1.43
50,DPR,1.1,76.0,74.8,72.4,85.2,77.4,3.66,"401,450.00","314,681.52",-1.58,-1.44
51,PVB,1.1,15.5,15.2,13.9,18.7,16.3,1.37,"142,186.41","90,728.79",-1.94,-1.76
52,FPT,1.1,87.2,85.5,84.5,95.46,90.77,3.26,"2,408,763.64","726,323.64",-1.95,-1.77
53,DGW,1.1,121.9,119.5,111.6,139.2,126.31,6.55,"731,972.73","375,207.60",-1.97,-1.79
54,ACB,1.1,24.28,23.8,22.9,25.75,24.5,0.93,"2,840,045.45","971,897.75",-1.98,-1.8
55,PDR,1.1,53.6,52.5,48.8,55.3,52.38,1.87,"2,108,136.36","347,718.30",-2.05,-1.87
56,IDC,1.1,47.4,46.4,42.31,51.31,46.96,2.24,"2,177,812.00","652,648.29",-2.11,-1.92
57,VCB,1.1,76.7,75.0,75.0,81.0,77.69,1.6,"913,509.09","264,071.79",-2.22,-2.02
58,FUEVFVND,1.1,27.5,26.8,26.8,29.48,28.04,0.84,"3,119,281.82","3,375,059.40",-2.55,-2.32
59,PVP,1.1,11.5,11.2,10.7,13.0,11.99,0.65,"184,617.50","78,940.27",-2.61,-2.37
60,DHM,1.1,10.5,10.2,10.0,10.6,10.39,0.14,"240,990.91","115,618.85",-2.86,-2.6
61,CDC,1.1,17.8,17.25,16.3,17.8,17.18,0.38,"100,445.45","27,993.06",-3.09,-2.81
62,GMD,1.1,53.7,52.0,49.6,61.4,55.35,3.26,"3,373,559.09","1,417,826.90",-3.17,-2.88
63,EIB,1.1,32.5,31.45,30.35,34.1,31.65,1.05,"268,713.64","269,377.41",-3.23,-2.94
64,TCB,1.1,36.7,35.5,33.0,37.95,36.08,1.33,"4,940,409.09","1,292,662.38",-3.27,-2.98
65,VC3,1.1,45.4,43.6,42.7,47.0,44.7,1.12,"145,844.14","66,156.06",-3.96,-3.61
66,VIC,1.1,77.7,74.6,74.2,79.3,77.18,1.54,"1,789,040.91","588,021.42",-3.99,-3.63
67,CTR,1.1,65.72,63.1,61.5,72.54,66.65,2.89,"671,786.36","249,233.93",-3.98,-3.63
68,SKG,1.1,14.6,14.0,13.2,15.9,14.52,0.78,"286,536.36","136,132.72",-4.11,-3.74
69,PLX,1.1,42.55,40.8,39.0,46.9,42.9,2.34,"1,234,090.91","494,934.52",-4.11,-3.75
70,QTP,1.1,16.4,15.7,15.3,17.7,16.46,0.63,"567,776.41","312,352.31",-4.27,-3.89
71,LHG,1.1,32.92,31.5,30.85,37.92,33.45,1.65,"508,863.64","214,264.18",-4.32,-3.93
72,BMI,1.1,31.02,29.5,29.0,33.25,30.75,1.2,"459,659.09","289,068.25",-4.88,-4.45
73,NVL,1.1,78.0,74.0,74.0,78.9,76.7,1.3,"2,807,945.45","468,113.71",-5.13,-4.67
74,E1VFVN30,1.1,21.93,20.79,20.6,22.65,21.81,0.7,"1,296,809.09","1,122,618.78",-5.2,-4.74
75,VHM,1.1,66.75,63.2,63.2,70.3,67.08,2.1,"3,095,568.18","742,881.44",-5.32,-4.85
76,STB,1.1,22.4,21.2,18.85,22.8,21.17,1.04,"14,175,472.73","2,411,456.82",-5.36,-4.88
77,EVE,1.1,14.27,13.5,13.0,15.05,13.99,0.59,"170,627.27","91,917.50",-5.39,-4.91
78,VSC,1.1,46.9,44.3,42.45,54.9,48.69,3.15,"955,900.00","438,229.92",-5.54,-5.05
79,QNS,1.1,47.3,44.6,43.5,48.0,45.84,1.43,"206,822.95","140,598.32",-5.71,-5.2
80,PET,1.1,39.55,37.0,34.5,45.9,40.51,3.4,"1,103,663.64","401,660.95",-6.45,-5.88
81,DPM,1.1,56.5,52.8,51.7,67.5,60.28,4.78,"5,088,272.73","1,698,984.76",-6.55,-5.97
82,VRE,1.1,29.6,27.55,27.55,30.9,29.43,0.88,"2,089,113.64","665,649.92",-6.93,-6.32
83,PVT,1.1,20.65,19.2,18.5,23.45,21.08,1.3,"4,018,622.73","1,396,876.70",-7.02,-6.4
84,SAM,1.1,12.55,11.65,10.9,12.55,11.46,0.56,"1,105,900.00","417,283.23",-7.17,-6.54
85,PAN,1.1,22.2,20.6,19.4,26.05,22.85,1.83,"2,096,813.64","986,656.35",-7.21,-6.57
86,KDH,1.1,41.45,38.45,38.1,42.55,40.18,1.49,"819,845.45","224,988.78",-7.24,-6.6
87,CTG,1.1,26.7,24.75,22.6,27.9,25.97,1.75,"3,774,568.18","1,235,232.85",-7.3,-6.66
88,GKM,1.1,51.5,47.7,45.9,52.0,48.6,1.74,"206,686.95","137,224.05",-7.38,-6.73
89,AAA,1.1,12.75,11.8,10.3,13.3,12.09,0.71,"4,138,159.09","1,433,542.48",-7.45,-6.8
90,CCL,1.1,10.5,9.71,8.05,10.95,9.83,0.81,"239,013.64","192,635.49",-7.52,-6.86
91,SBT,1.1,17.35,16.0,14.7,18.25,16.74,1.09,"2,416,427.27","1,215,543.52",-7.78,-7.1
92,DRC,1.1,29.49,27.15,26.5,31.7,28.9,1.4,"471,781.82","283,464.96",-7.93,-7.23
93,ACL,1.1,25.8,23.7,23.0,29.3,26.31,1.94,"514,018.18","198,347.39",-8.14,-7.43
94,IDI,1.1,23.65,21.7,21.3,27.0,24.34,1.74,"4,535,236.36","1,272,897.94",-8.25,-7.52
95,GSP,1.1,11.45,10.5,10.1,12.1,11.13,0.66,"124,295.45","67,071.52",-8.3,-7.57
96,KBC,1.1,32.97,30.1,28.5,34.13,32.06,1.72,"2,821,454.55","861,939.24",-8.71,-7.95
97,SBS,1.1,9.1,8.3,7.4,11.6,9.39,1.26,"2,939,808.95","1,522,075.77",-8.79,-8.03
98,HT1,1.1,17.0,15.5,14.6,18.0,16.39,0.99,"1,009,954.55","434,884.97",-8.82,-8.05
99,DHC,1.1,72.0,65.5,62.1,72.0,68.09,2.95,"166,804.55","92,715.30",-9.03,-8.24
100,VGT,1.1,19.4,17.6,17.6,21.0,19.1,1.01,"2,041,637.73","905,804.37",-9.28,-8.47
101,VPB,1.1,31.05,28.15,27.1,31.8,29.75,1.5,"9,849,368.18","4,086,260.15",-9.34,-8.53
102,NRC,1.1,17.1,15.5,15.0,17.7,16.53,0.87,"449,879.18","254,159.05",-9.36,-8.54
103,HSL,1.1,6.73,6.1,5.74,7.7,6.69,0.61,"232,986.36","88,725.40",-9.36,-8.55
104,DPG,1.1,53.77,48.7,45.8,58.68,53.34,3.33,"669,018.18","187,708.09",-9.43,-8.61
105,HAH,1.1,80.0,72.1,68.4,90.0,80.98,6.21,"2,342,095.45","870,302.28",-9.88,-9.02
106,NBC,1.1,16.21,14.6,13.6,18.14,16.16,1.31,"375,344.32","210,406.25",-9.92,-9.06
107,HDB,1.1,25.55,23.0,23.0,26.15,25.0,0.98,"1,997,945.45","627,082.64",-9.98,-9.12
108,BCC,1.1,15.8,14.2,13.2,17.8,15.81,1.32,"732,128.05","370,590.53",-10.13,-9.25
109,GVR,1.1,25.35,22.75,21.7,27.45,24.43,1.68,"1,897,690.91","616,943.92",-10.26,-9.37
110,FUESSVFL,1.1,17.5,15.7,15.2,18.0,16.79,0.94,"125,081.82","221,378.19",-10.29,-9.4
111,NED,1.1,7.6,6.8,6.8,8.2,7.52,0.48,"437,767.27","217,192.30",-10.53,-9.62
112,SHB,1.1,15.1,13.5,12.9,15.2,14.02,0.76,"6,817,118.18","2,998,568.84",-10.6,-9.68
113,BVB,1.1,14.7,13.1,12.7,14.8,13.69,0.69,"498,102.32","200,411.52",-10.88,-9.95
114,HUT,1.1,28.2,25.1,22.1,32.6,28.02,3.24,"4,161,523.95","1,503,993.89",-10.99,-10.05
115,HAG,1.1,9.08,8.08,6.98,9.41,8.32,0.72,"10,246,095.45","2,935,570.76",-11.01,-10.06
116,BID,1.1,35.1,31.2,29.5,35.75,33.12,1.9,"1,052,986.36","311,103.94",-11.11,-10.15
117,VAB,1.1,10.7,9.5,9.5,10.9,10.16,0.49,"254,725.55","135,048.30",-11.21,-10.25
118,NTL,1.1,26.07,23.1,22.8,27.12,25.01,1.66,"326,345.45","159,487.84",-11.38,-10.4
119,CMX,1.1,19.45,17.2,16.3,22.45,19.65,1.69,"2,321,672.73","832,751.86",-11.57,-10.57
120,TV2,1.1,48.2,42.6,41.0,53.0,47.29,3.04,"161,272.73","90,465.63",-11.62,-10.62
121,VHC,1.1,102.0,90.0,87.5,114.5,102.28,7.38,"2,309,431.82","681,378.13",-11.76,-10.75
122,TCM,1.1,52.78,46.5,42.25,54.7,50.81,3.33,"684,781.82","290,394.17",-11.91,-10.89
123,CTI,1.1,14.85,13.0,12.0,15.35,14.06,1.13,"344,059.09","135,577.01",-12.46,-11.39
124,BFC,1.1,26.58,23.15,21.8,31.3,27.39,2.83,"612,486.36","227,446.72",-12.9,-11.8
125,LPB,1.1,15.2,13.2,11.8,15.3,13.89,1.22,"6,107,318.18","3,172,744.94",-13.16,-12.04
126,OGC,1.1,12.1,10.45,9.14,13.3,11.72,1.15,"1,021,490.91","853,606.94",-13.64,-12.48
127,FTS,1.1,37.75,32.5,26.4,39.25,34.28,4.27,"513,131.82","170,774.43",-13.91,-12.73
128,HID,1.1,6.82,5.87,5.63,7.6,6.72,0.53,"529,786.36","231,690.78",-13.93,-12.75
129,PV2,1.1,4.3,3.7,3.1,4.5,3.95,0.4,"163,013.64","106,330.75",-13.95,-12.77
130,DVG,1.1,10.0,8.6,8.6,10.0,9.6,0.43,"511,197.59","277,084.82",-14.0,-12.81
131,VCI,1.1,39.2,33.7,28.8,41.85,36.4,3.93,"4,618,381.82","1,063,856.57",-14.03,-12.84
132,ABB,1.1,12.1,10.4,9.8,12.1,11.06,0.82,"1,361,006.23","628,277.29",-14.05,-12.86
133,MBB,1.1,27.65,23.7,22.45,28.1,25.98,1.98,"8,288,340.91","4,390,517.51",-14.29,-13.08
134,HVN,1.1,17.85,15.25,14.6,19.15,17.12,1.42,"1,303,586.36","426,949.60",-14.57,-13.33
135,OIL,1.1,14.2,12.1,11.7,15.7,13.95,1.28,"1,879,928.23","740,504.64",-14.79,-13.54
136,DXS,1.1,19.25,16.35,13.8,20.25,17.98,2.37,"191,231.82","90,097.33",-15.06,-13.79
137,HAP,1.1,7.87,6.68,6.35,8.53,7.58,0.71,"310,786.36","167,720.51",-15.16,-13.89
138,TTA,1.1,14.15,12.0,11.25,14.65,13.37,1.04,"691,427.27","527,311.22",-15.19,-13.91
139,PVS,1.1,28.4,24.0,22.5,33.0,29.08,2.91,"13,186,147.41","4,105,680.00",-15.49,-14.19
140,ABS,1.1,13.0,10.95,9.7,14.95,12.85,1.68,"620,527.27","267,015.11",-15.77,-14.44
141,TIP,1.1,28.85,24.3,22.2,29.4,26.34,2.14,"139,231.82","77,230.48",-15.77,-14.45
142,ELC,1.1,19.0,16.0,13.3,20.0,17.57,2.22,"506,813.64","198,914.24",-15.79,-14.46
143,ASM,1.1,18.05,15.2,14.0,20.45,17.61,1.81,"5,445,663.64","2,021,362.82",-15.79,-14.46
144,HAX,1.1,22.4,18.85,17.1,22.85,20.84,1.87,"487,831.82","220,193.20",-15.85,-14.52
145,TEG,1.1,11.0,9.25,7.98,11.85,10.23,1.16,"412,045.45","96,790.12",-15.91,-14.57
146,SZC,1.1,51.9,43.6,40.25,57.6,50.9,5.36,"813,581.82","330,887.89",-15.99,-14.65
147,EVF,1.1,11.75,9.85,9.25,12.3,10.82,1.04,"291,677.27","186,395.53",-16.17,-14.82
148,MSB,1.1,19.75,16.55,15.0,20.7,18.47,1.92,"1,391,890.91","580,800.94",-16.2,-14.85
149,BCM,1.1,74.4,62.3,62.0,74.4,69.21,3.91,"239,909.09","127,299.66",-16.26,-14.9
150,LSS,1.1,11.15,9.3,8.6,11.8,10.55,1.04,"501,813.64","271,549.75",-16.59,-15.2
151,PTB,1.1,77.2,64.0,60.6,84.0,75.03,7.74,"234,836.36","118,272.17",-17.1,-15.67
152,CVN,1.1,7.5,6.2,5.7,8.2,7.18,0.78,"146,598.09","109,125.58",-17.33,-15.89
153,OCB,1.1,20.15,16.6,16.1,20.35,18.34,1.59,"1,344,040.91","550,427.47",-17.62,-16.15
154,HPG,1.1,26.49,21.8,20.8,26.83,24.2,1.93,"22,454,668.18","8,241,319.99",-17.7,-16.23
155,TPB,1.1,31.6,26.0,25.05,33.0,28.99,2.75,"2,756,227.27","1,206,221.19",-17.72,-16.25
156,HVH,1.1,7.55,6.2,6.12,7.8,7.08,0.6,"118,340.91","48,061.18",-17.88,-16.4
157,LAS,1.1,15.6,12.8,12.1,16.9,14.79,1.69,"832,643.23","442,184.57",-17.95,-16.46
158,DTD,1.1,26.6,21.7,20.5,28.7,24.88,2.73,"206,851.45","133,891.87",-18.42,-16.9
159,HCM,1.1,24.45,19.9,16.6,24.45,21.45,2.58,"3,845,909.09","1,200,330.70",-18.61,-17.07
160,VTP,1.1,68.8,56.0,51.2,70.8,63.71,6.36,"404,398.45","169,327.72",-18.6,-17.07
161,ORS,1.1,17.85,14.5,14.1,18.4,16.15,1.59,"2,113,590.91","1,074,312.78",-18.77,-17.22
162,BVS,1.1,22.4,18.1,16.5,22.8,20.11,2.21,"166,046.23","69,580.92",-19.2,-17.62
163,PXS,1.05,5.17,4.21,3.9,5.61,4.92,0.5,"483,047.62","320,563.65",-18.57,-17.77
164,POM,1.1,8.93,7.2,6.89,9.31,8.31,0.85,"105,472.73","47,554.57",-19.37,-17.78
165,PXI,1.1,3.6,2.9,2.7,4.3,3.57,0.45,"203,147.91","98,385.76",-19.44,-17.85
166,HNG,1.1,6.32,5.09,4.66,6.6,5.85,0.64,"4,639,663.64","1,749,726.03",-19.46,-17.86
167,TNA,1.1,11.35,9.14,8.68,11.5,10.31,0.99,"128,504.55","71,130.75",-19.47,-17.87
168,GEX,1.1,23.6,19.0,17.2,24.0,21.73,2.16,"11,018,586.36","4,018,575.88",-19.49,-17.89
169,VIP,1.1,7.74,6.23,6.0,7.81,7.07,0.66,"194,472.73","71,026.11",-19.51,-17.91
170,HBC,1.1,21.6,17.35,15.45,23.25,19.76,2.47,"5,323,100.00","1,739,284.24",-19.68,-18.06
171,MSR,1.1,22.3,17.9,17.4,22.8,20.24,1.85,"308,711.32","120,150.09",-19.73,-18.11
172,NBB,1.1,20.0,16.0,14.5,20.1,17.84,1.82,"913,377.27","345,226.67",-20.0,-18.36
173,LGL,1.1,6.51,5.18,4.7,7.27,6.05,0.78,"197,531.82","103,337.57",-20.43,-18.76
174,DXP,1.1,16.4,13.0,11.8,17.1,15.02,1.81,"161,652.45","147,697.17",-20.73,-19.04
175,TDC,1.1,14.65,11.6,10.4,15.4,13.47,1.59,"309,463.64","143,995.15",-20.82,-19.12
176,C47,1.1,15.55,12.3,11.5,15.65,13.87,1.27,"134,804.55","62,045.99",-20.9,-19.2
177,PXL,1.1,11.0,8.7,7.4,11.3,9.93,1.31,"227,877.95","107,349.86",-20.91,-19.2
178,ITQ,1.1,5.7,4.5,3.7,6.2,5.1,0.76,"205,542.00","86,189.98",-21.05,-19.34
179,SHS,1.1,18.0,14.2,12.2,18.5,16.3,2.13,"8,515,734.95","2,630,943.66",-21.11,-19.39
180,ITC,1.1,12.3,9.7,9.0,12.5,11.07,1.32,"260,918.18","112,325.65",-21.14,-19.42
181,TVN,1.1,10.3,8.1,7.6,10.6,9.45,1.01,"218,644.00","111,025.95",-21.36,-19.62
182,VIB,1.1,26.2,20.6,18.0,27.2,23.93,3.08,"1,665,300.00","1,273,617.33",-21.37,-19.64
183,DDV,1.1,21.0,16.5,15.5,22.7,19.35,2.45,"1,033,200.45","370,902.76",-21.43,-19.69
184,TLD,1.1,7.02,5.48,5.14,7.2,6.47,0.7,"145,568.18","100,727.04",-21.94,-20.16
185,SRA,1.1,8.5,6.6,6.1,8.6,7.6,0.88,"294,262.55","136,488.58",-22.35,-20.55
186,PVD,1.1,21.9,17.0,16.1,24.15,21.25,2.48,"9,828,745.45","3,270,969.24",-22.37,-20.57
187,VHE,1.1,6.2,4.8,4.6,6.7,5.74,0.66,"141,251.50","82,582.43",-22.58,-20.76
188,VGI,1.1,31.4,24.3,23.0,31.4,28.11,2.81,"610,742.00","264,786.84",-22.61,-20.79
189,GIL,1.1,69.9,54.0,49.2,77.7,66.34,8.55,"727,631.82","270,531.01",-22.75,-20.91
190,SMC,1.1,26.95,20.8,18.75,27.3,24.2,2.85,"167,145.45","75,734.30",-22.82,-20.98
191,HCD,1.1,10.9,8.39,6.92,11.3,9.58,1.42,"350,500.00","141,569.44",-23.03,-21.17
192,NDN,1.1,13.9,10.7,10.1,14.1,12.41,1.47,"387,654.91","336,670.60",-23.02,-21.17
193,HHS,1.1,7.01,5.39,4.95,7.37,6.41,0.83,"1,837,350.00","772,770.24",-23.11,-21.25
194,CII,1.1,21.95,16.85,14.9,22.3,19.32,2.46,"4,511,940.91","1,141,820.74",-23.23,-21.37
195,KSQ,1.1,4.3,3.3,2.8,4.5,3.79,0.56,"144,197.73","64,798.75",-23.26,-21.39
196,EVG,1.1,8.12,6.22,5.19,8.12,6.86,1.01,"157,354.55","76,667.74",-23.4,-21.52
197,VGS,1.1,22.4,17.1,14.2,24.3,20.35,3.08,"210,528.91","91,619.76",-23.66,-21.76
198,KSB,1.1,34.0,25.95,23.95,35.45,30.92,4.21,"1,625,340.91","637,650.12",-23.68,-21.78
199,HHG,1.1,3.8,2.9,2.3,4.2,3.41,0.58,"363,768.45","168,098.32",-23.68,-21.79
200,NLG,1.1,47.25,36.0,34.0,47.8,41.46,4.65,"2,590,904.55","686,155.18",-23.81,-21.9
201,TCH,1.1,13.9,10.55,9.9,13.95,12.28,1.39,"4,179,631.82","1,449,219.00",-24.1,-22.17
202,TCI,1.1,11.1,8.4,8.0,11.4,9.63,1.13,"342,767.50","240,986.45",-24.32,-22.38
203,DBC,1.1,24.1,18.2,16.43,24.95,21.66,3.04,"2,237,659.09","1,018,685.12",-24.47,-22.52
204,DXG,1.1,27.2,20.5,18.15,28.2,23.01,3.23,"10,034,368.18","4,057,676.56",-24.63,-22.67
205,BKG,1.1,7.1,5.35,4.71,7.4,6.33,0.89,"167,645.45","57,516.03",-24.65,-22.68
206,BSI,1.1,28.7,21.6,20.4,32.0,26.58,3.81,"574,122.73","258,269.09",-24.74,-22.77
207,AMV,1.1,10.9,8.2,7.6,10.9,9.1,1.0,"819,073.45","862,117.96",-24.77,-22.8
208,QBS,1.1,4.63,3.48,3.04,5.29,4.38,0.77,"842,613.64","421,519.14",-24.84,-22.86
209,PHC,1.1,9.95,7.46,6.81,9.98,8.61,1.09,"255,431.82","90,913.98",-25.03,-23.04
210,TTF,1.1,9.71,7.27,6.58,9.72,8.43,1.09,"4,168,440.91","1,864,486.63",-25.13,-23.13
211,PSH,1.1,15.45,11.55,10.9,16.2,14.05,1.8,"925,577.27","352,440.69",-25.24,-23.24
212,DAH,1.1,8.87,6.61,5.73,9.35,7.87,1.21,"481,604.55","217,704.31",-25.48,-23.46
213,PLC,1.1,31.73,23.6,22.0,32.4,28.17,3.69,"342,817.45","107,801.97",-25.63,-23.6
214,ITA,1.1,12.0,8.92,8.41,12.35,10.99,1.37,"7,699,813.64","3,743,308.12",-25.67,-23.64
215,VTO,1.1,10.12,7.51,7.25,10.35,8.91,1.11,"389,204.55","378,308.25",-25.78,-23.74
216,APH,1.1,16.45,12.2,10.7,16.45,14.02,2.01,"2,766,881.82","1,082,098.60",-25.84,-23.79
217,VIG,1.1,8.1,6.0,5.4,8.4,7.26,1.01,"321,966.68","174,293.68",-25.93,-23.88
218,TNI,1.1,4.95,3.66,3.25,5.31,4.44,0.65,"379,163.64","160,032.55",-26.06,-24.0
219,PVC,1.1,23.0,17.0,15.5,26.0,22.06,3.37,"2,244,932.18","718,614.12",-26.09,-24.03
220,DST,1.1,8.8,6.5,5.6,9.4,7.86,1.24,"355,951.14","141,367.76",-26.14,-24.07
221,L14,1.1,149.0,110.0,98.5,194.0,151.72,30.29,"207,838.77","79,189.86",-26.17,-24.11
222,KVC,1.1,4.2,3.1,2.7,4.4,3.73,0.55,"458,098.77","196,328.73",-26.19,-24.12
223,FCN,1.1,17.4,12.8,11.9,18.3,15.67,2.26,"2,604,409.09","831,466.54",-26.44,-24.35
224,PSI,1.1,9.8,7.2,6.5,9.9,8.46,1.2,"119,654.41","60,632.20",-26.53,-24.44
225,MBG,1.1,9.4,6.9,6.2,9.9,8.33,1.28,"755,973.55","309,330.80",-26.6,-24.5
226,NHH,1.1,18.2,13.35,12.15,18.2,15.56,1.94,"192,050.00","127,686.70",-26.65,-24.55
227,HHV,1.1,16.1,11.8,10.75,16.35,14.28,1.97,"1,582,163.64","524,285.21",-26.71,-24.61
228,HSG,1.1,21.7,15.9,14.15,23.2,19.47,3.16,"9,015,922.73","3,032,074.33",-26.73,-24.63
229,FCM,1.1,6.47,4.73,4.4,6.72,5.75,0.81,"166,050.00","46,804.04",-26.89,-24.78
230,HDC,1.1,49.84,36.35,29.75,50.0,42.71,6.97,"1,188,404.55","578,207.13",-27.07,-24.94
231,VPH,1.1,9.15,6.66,5.67,9.5,7.78,1.33,"330,986.36","139,269.65",-27.21,-25.08
232,AGR,1.1,13.15,9.54,8.6,13.3,11.37,1.65,"558,963.64","167,422.23",-27.45,-25.3
233,PTL,1.1,5.78,4.19,3.86,6.2,5.08,0.8,"199,581.82","109,365.27",-27.51,-25.36
234,QCG,1.1,10.25,7.42,6.66,10.4,8.96,1.22,"296,213.64","83,999.51",-27.61,-25.45
235,TIG,1.1,17.0,12.3,11.8,17.8,15.3,1.88,"344,790.00","144,563.23",-27.65,-25.49
236,HTN,1.1,38.7,28.0,24.15,38.7,33.02,5.06,"213,081.82","99,511.51",-27.65,-25.49
237,NAF,1.1,15.15,10.95,9.98,15.6,13.35,1.81,"132,490.91","75,792.44",-27.72,-25.56
238,HQC,1.1,5.58,4.03,3.63,6.21,5.16,0.87,"10,457,350.00","4,714,197.78",-27.78,-25.61
