,Symbol,Count Year,From,To,Min,Max,Mean Price,STD Price,Mean Volume,STD Volume,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year Full
30,FTS,5.04,7.65,49.6,6.64,74.6,15.98,15.55,"243,939.27","357,104.85",223.68,129.16,64.12,54.66,45.34,,44.91
31,HPG,6.0,4.64,42.2,4.59,58.0,19.31,13.33,"9,531,937.08","9,555,873.94",46.61,69.74,48.77,19.65,35.92,44.46,44.46
32,AGG,2.06,21.02,44.7,18.21,47.9,28.22,8.28,"1,064,727.58","895,125.52",81.27,45.84,,,,,44.25
33,HAX,6.0,3.28,28.4,3.28,32.5,12.94,5.48,"248,959.19","324,734.00",100.1,73.35,41.77,15.64,22.05,43.27,43.27
34,VNA,5.98,2.7,22.7,0.7,47.8,5.48,9.52,"111,125.83","190,354.40",467.5,184.73,183.14,97.23,68.52,42.6,42.77
35,SBS,6.01,1.6,13.4,0.9,21.1,3.57,4.53,"917,616.71","1,752,508.75",152.83,249.02,103.08,38.9,68.04,42.51,42.42
36,VGC,5.96,6.06,48.4,5.75,61.5,19.9,9.41,"779,198.04","929,956.21",42.54,74.06,42.55,22.75,31.72,41.38,41.71
37,MWG,6.0,16.69,132.5,16.69,145.0,62.8,27.46,"670,622.09","543,110.52",50.23,36.37,35.31,22.01,26.89,41.25,41.25
38,MBS,5.87,4.41,32.8,2.75,45.8,11.1,9.38,"577,650.63","1,019,095.27",133.62,105.26,53.84,32.94,53.6,39.72,40.76
39,VGS,6.01,3.72,29.0,3.59,50.0,10.97,9.11,"298,659.23","402,558.95",177.43,120.03,55.41,40.67,32.18,40.81,40.73
40,TLH,6.0,2.16,16.7,1.79,24.2,7.78,5.03,"863,180.51","1,097,343.59",142.7,124.72,65.47,16.24,12.53,40.61,40.61
41,HDG,6.0,7.93,61.0,7.63,67.8,20.43,12.98,"591,824.79","825,324.27",93.39,88.95,49.74,39.37,46.38,40.51,40.51
42,D2D,6.0,8.11,60.8,7.85,69.4,30.5,17.8,"123,762.23","150,342.44",24.86,35.33,40.22,33.29,45.29,39.91,39.91
43,PTL,6.0,1.8,13.3,1.8,18.9,4.27,2.51,"213,875.21","564,448.13",142.26,82.35,68.3,37.69,38.82,39.56,39.56
44,DTD,4.21,10.08,40.8,6.97,58.1,17.13,11.99,"168,038.88","148,210.82",53.15,113.75,67.32,41.85,,,39.4
45,PFL,6.01,1.2,8.8,0.6,17.1,1.95,2.04,"294,831.42","470,162.54",193.33,231.66,132.52,58.34,51.57,39.39,39.31
46,CTS,5.99,4.8,34.9,4.55,49.9,10.93,8.25,"456,636.03","681,955.39",171.6,124.25,65.28,31.47,44.89,39.17,39.25
47,PXL,5.98,2.0,14.4,1.6,23.5,5.69,3.95,"251,190.02","542,150.13",53.19,36.75,66.85,58.18,48.41,38.96,39.11
48,C4G,3.14,6.66,18.7,1.96,21.59,6.14,3.51,"988,244.10","1,284,640.62",146.57,129.61,41.1,,,,38.95
49,TAR,2.96,12.33,32.5,12.33,44.8,22.23,6.03,"495,071.53","565,330.62",84.17,16.04,38.12,,,,38.73
50,DHC,6.0,10.97,78.0,10.72,96.1,31.53,23.61,"204,328.21","304,487.96",63.06,64.48,61.15,36.84,39.64,38.67,38.67
51,BSI,5.98,5.59,39.0,5.59,52.1,11.22,8.12,"287,988.14","619,849.54",166.89,106.07,78.29,32.41,38.24,38.24,38.39
52,TVB,5.97,2.73,18.5,1.9,31.45,8.88,5.53,"358,880.94","637,548.93",52.16,39.3,23.73,25.04,14.93,37.57,37.79
53,CEO,6.01,9.26,62.0,5.9,92.5,11.16,9.23,"1,906,294.79","2,393,206.76",588.89,171.68,74.23,63.48,43.88,37.3,37.23
54,NVB,6.01,4.8,32.0,3.28,33.9,8.29,5.56,"1,384,793.98","2,054,715.59",198.51,109.66,71.0,49.07,56.95,37.19,37.12
55,SHB,6.01,3.38,22.5,2.38,28.9,8.11,6.46,"9,298,250.79","10,478,134.51",117.01,103.35,73.66,29.31,50.85,37.13,37.06
56,CCL,6.0,2.07,13.7,1.92,20.1,5.61,4.23,"365,454.29","437,305.90",41.16,61.05,77.64,44.08,45.53,37.04,37.04
57,TDC,6.0,3.39,22.1,3.07,33.35,8.34,6.47,"344,765.01","559,121.74",56.48,80.25,57.56,41.43,43.53,36.68,36.68
58,VDS,5.98,5.49,35.0,4.87,40.7,10.02,7.94,"203,903.84","436,981.59",251.69,128.3,74.16,42.21,43.75,36.16,36.3
59,AGR,6.0,3.0,19.1,2.01,27.7,6.0,5.08,"773,209.03","1,223,151.94",93.52,137.02,76.9,31.95,42.68,36.14,36.14
60,KDH,6.0,7.88,50.0,7.84,56.8,20.95,9.97,"773,961.88","1,319,804.98",72.41,53.86,37.29,24.54,38.1,36.07,36.07
61,IJC,6.0,4.34,27.5,4.21,36.5,11.62,8.26,"1,472,139.72","2,570,805.03",26.92,53.43,63.36,40.37,37.28,36.04,36.04
62,BCM,3.93,23.72,79.2,13.28,79.9,32.91,14.53,"104,685.50","216,314.23",43.96,76.35,53.02,35.18,,,35.91
63,DGC,5.98,22.05,138.0,13.94,177.89,36.69,36.13,"332,447.79","557,528.07",221.31,173.85,77.31,66.47,47.59,35.76,35.9
64,PVL,6.01,1.6,10.0,1.0,22.3,2.85,2.95,"361,943.57","812,165.06",455.56,158.2,80.52,46.01,34.17,35.72,35.65
65,TDM,5.83,5.63,33.1,5.63,38.55,20.21,6.49,"164,427.08","262,243.81",29.76,26.32,12.7,23.09,17.38,34.35,35.51
66,CMX,6.0,2.62,15.35,2.1,22.4,8.74,5.67,"231,305.54","487,081.70",18.4,24.17,12.18,50.24,42.42,34.27,34.27
67,VOS,6.0,2.5,14.6,1.0,25.3,3.49,4.93,"674,649.40","1,297,726.69",284.21,188.02,101.3,47.67,68.03,34.19,34.19
68,LCG,6.0,3.05,17.8,2.13,25.45,6.75,4.21,"1,486,480.44","2,376,219.42",76.99,93.91,46.51,31.56,45.5,34.17,34.17
69,AAS,1.54,17.5,27.5,5.6,34.2,14.34,7.73,"1,399,344.19","1,303,020.62",216.09,25.36,,,,,34.11
70,GVR,3.86,10.08,31.2,6.38,42.1,17.11,10.38,"2,017,882.21","2,327,886.28",15.5,70.05,49.01,32.65,,,34.02
71,CRE,3.42,13.34,36.25,6.72,43.5,15.78,8.47,"787,614.04","726,181.80",135.56,78.88,39.55,,,,33.95
72,MBB,6.0,5.98,33.7,5.74,33.7,13.76,6.77,"6,556,143.40","6,851,260.37",94.01,56.36,38.39,21.3,40.52,33.39,33.39
73,APG,5.98,3.17,17.4,2.27,20.7,5.46,3.38,"693,185.11","866,116.03",231.93,62.22,45.93,52.69,45.83,32.79,32.92
74,VC3,6.01,9.93,54.5,9.93,63.5,16.28,8.82,"279,739.70","214,570.18",264.3,90.29,60.1,50.91,28.15,32.82,32.76
75,TCD,4.7,5.83,22.0,4.24,27.95,7.77,4.69,"123,842.36","335,489.28",128.55,119.58,54.49,34.21,30.42,,32.65
76,PAS,1.37,14.34,21.1,9.39,24.59,15.55,4.06,"1,143,993.68","824,733.43",47.19,,,,,,32.6
77,ACB,5.99,6.44,34.55,5.83,37.95,15.89,8.12,"3,740,863.08","3,900,479.85",61.15,56.21,35.72,21.91,30.71,32.3,32.37
78,CVT,5.98,8.15,43.6,8.12,52.59,24.08,10.41,"316,402.94","343,297.20",12.79,55.96,37.69,12.43,18.58,32.23,32.36
79,FPT,6.0,16.65,89.5,16.51,100.0,38.68,22.81,"1,483,727.56","1,058,387.50",67.61,53.6,49.34,28.91,36.27,32.35,32.35
80,PNJ,6.0,19.49,104.0,19.49,110.11,63.71,22.28,"432,815.59","350,968.40",27.15,14.77,15.62,10.83,26.47,32.19,32.19
81,FMC,6.0,9.49,50.3,8.94,57.1,22.21,10.87,"194,904.84","196,813.86",72.26,52.64,29.43,28.37,34.66,32.03,32.03
82,DBC,5.98,13.93,71.5,11.65,79.5,27.12,16.48,"825,554.33","1,289,432.20",70.8,120.19,59.66,41.93,30.19,31.34,31.46
83,ADS,5.6,6.29,29.0,5.55,39.1,11.31,6.85,"117,306.56","188,200.58",138.19,102.13,52.74,31.62,23.8,29.03,31.4
84,BVB,1.58,13.59,20.9,9.41,26.4,16.53,4.79,"2,341,416.92","2,003,402.77",53.68,24.03,,,,,31.33
85,NVT,6.0,2.4,12.0,1.62,17.0,5.68,2.91,"159,730.75","403,704.36",122.22,34.94,16.96,32.78,43.1,30.77,30.77
86,GIL,6.0,13.68,68.0,11.11,76.8,26.38,16.11,"168,422.53","239,258.01",80.36,121.48,40.24,39.05,30.84,30.64,30.64
87,VHC,6.0,12.33,61.0,10.71,67.3,32.76,11.71,"467,541.76","655,100.82",65.46,38.1,13.62,26.53,21.11,30.54,30.54
88,DXG,6.0,6.89,33.85,5.39,39.2,13.88,6.35,"3,858,606.89","3,879,542.51",98.62,76.83,28.84,16.38,37.39,30.38,30.38
89,KBC,6.0,10.95,53.7,10.3,62.1,18.76,11.43,"3,925,007.41","3,666,286.69",45.73,91.46,59.65,42.15,33.36,30.34,30.34
90,TPB,3.8,15.36,41.95,9.82,43.0,17.37,7.47,"1,931,962.01","2,790,269.17",102.63,87.65,45.97,28.56,,,30.28
91,PET,6.0,7.21,35.1,5.52,39.6,10.41,7.37,"687,836.45","1,090,764.98",147.04,131.6,77.23,46.77,40.07,30.18,30.18
92,LHG,6.0,10.31,49.8,8.98,57.5,20.52,11.93,"272,927.55","245,478.63",64.3,98.44,49.63,34.52,31.07,30.0,30.0
93,SSI,6.0,9.42,45.05,6.26,55.9,16.44,10.24,"5,246,685.85","5,549,614.96",132.71,116.15,49.03,27.13,35.16,29.79,29.79
94,KOS,4.13,11.52,33.7,11.52,34.9,21.1,5.41,"222,438.48","198,324.36",37.27,28.47,25.83,30.78,,,29.68
95,SJS,6.0,17.16,81.5,13.81,91.5,26.84,16.04,"168,476.81","152,972.16",139.0,118.95,57.61,34.02,35.3,29.65,29.65
96,PTB,6.0,22.75,107.3,22.45,119.5,60.84,17.72,"130,782.93","136,379.12",71.65,31.98,27.63,13.63,15.93,29.5,29.5
97,HCM,6.0,7.89,37.15,7.54,48.65,17.85,9.24,"1,688,598.73","2,134,408.79",87.04,67.91,36.19,10.04,33.96,29.46,29.46
98,HSG,6.0,6.58,30.35,3.94,49.85,16.19,10.66,"5,240,512.96","4,593,953.32",42.98,107.78,80.1,14.51,10.26,29.03,29.03
99,TIG,6.01,4.84,22.4,1.53,29.9,5.44,5.14,"760,504.55","727,490.71",253.03,118.71,144.69,72.86,57.26,29.07,29.02
100,DCL,6.0,8.85,40.2,8.85,53.0,22.09,8.44,"185,039.16","237,139.95",48.89,41.25,57.7,17.03,10.17,28.7,28.7
101,VCI,4.58,17.75,56.0,6.23,79.29,25.51,16.51,"993,434.20","1,705,703.08",119.26,187.84,59.92,18.51,25.83,,28.51
102,EVS,3.48,16.39,39.2,5.2,43.3,14.7,10.57,"100,756.00","176,354.20",587.72,102.07,33.74,,,,28.49
103,NAB,1.32,14.26,19.8,10.7,22.82,16.44,2.94,"317,125.94","322,123.73",38.81,,,,,,28.2
104,BWE,4.54,14.6,44.2,13.82,47.49,24.96,7.45,"350,707.30","442,299.68",39.33,61.96,25.41,33.52,24.81,,27.64
105,HAP,5.98,2.83,12.15,2.0,16.83,4.4,3.59,"345,268.86","746,601.55",94.46,116.76,76.36,45.57,43.0,27.49,27.59
106,NLG,6.0,11.68,50.0,10.5,65.2,21.79,10.39,"1,098,545.12","1,573,470.99",73.95,56.06,39.75,25.74,34.32,27.43,27.43
107,NTL,6.0,7.92,33.6,5.34,43.62,14.04,9.18,"558,925.49","635,630.99",48.76,41.81,36.53,48.27,42.34,27.23,27.23
108,BCE,6.0,3.33,14.0,2.98,22.85,6.13,4.03,"135,960.73","261,033.39",45.83,59.76,49.62,40.4,32.96,27.04,27.04
109,LPB,4.29,8.96,25.0,4.55,30.22,10.68,6.35,"4,768,718.50","5,798,222.63",121.34,109.48,57.01,29.23,,,27.0
110,VCB,6.0,21.74,89.0,21.15,95.8,50.41,19.26,"1,347,255.39","909,377.02",23.61,13.48,27.21,15.48,25.61,26.48,26.48
111,REE,6.0,17.2,69.0,15.85,76.0,34.91,14.01,"758,133.03","608,416.93",35.29,46.14,31.28,16.82,26.19,26.05,26.05
112,S99,6.01,4.46,17.8,4.01,34.5,9.84,6.74,"315,267.62","587,015.82",12.66,49.16,36.83,38.58,32.99,25.96,25.91
113,VIG,6.01,3.1,12.3,0.5,18.9,2.81,3.12,"585,143.26","1,081,209.05",200.0,319.18,130.84,43.51,54.44,25.82,25.77
114,EVF,3.46,7.09,15.65,3.83,20.7,7.72,3.74,"332,450.40","521,915.05",121.89,73.23,30.2,,,,25.71
115,GEG,4.86,7.82,23.65,6.74,25.6,14.24,4.71,"441,650.37","521,703.45",47.87,17.1,24.1,28.29,24.76,,25.56
116,GEX,5.99,9.14,35.4,8.21,49.35,15.12,6.42,"2,945,795.53","4,711,365.52",141.94,59.59,37.09,22.44,32.15,25.32,25.36
117,VPB,4.46,13.39,36.65,9.42,40.39,17.96,9.01,"6,044,294.46","7,911,752.56",108.44,73.56,35.02,28.63,,,25.33
118,BVS,6.01,9.36,36.2,7.1,44.7,15.02,7.62,"240,436.79","412,820.39",133.29,98.75,50.7,21.56,23.16,25.28,25.24
119,NVL,5.09,25.48,79.9,24.54,92.37,40.22,18.05,"1,488,939.02","1,287,388.58",79.78,60.16,34.3,29.5,25.68,,25.18
120,NBC,6.01,3.34,12.7,3.29,28.4,6.21,4.48,"113,309.72","277,395.85",125.26,52.69,36.55,25.52,25.21,24.91,24.87
121,TNG,6.01,7.56,28.0,5.22,35.65,12.02,6.83,"1,013,841.30","1,166,206.58",50.75,59.12,36.2,36.61,39.45,24.39,24.34
122,EIB,6.0,10.3,37.45,8.8,37.45,16.28,5.38,"420,090.25","1,110,658.16",122.26,46.29,30.89,24.68,28.23,24.0,24.0
123,PVT,6.0,5.84,21.2,5.55,26.2,12.52,4.34,"1,542,754.89","2,031,434.76",37.57,38.04,17.4,10.68,20.31,23.98,23.98
124,VPI,4.15,24.32,59.1,23.91,60.2,31.81,6.3,"575,233.12","515,796.13",74.29,38.44,26.71,24.86,,,23.86
125,SAM,6.0,5.47,19.3,4.92,27.78,8.1,3.49,"513,074.39","847,273.59",67.9,47.0,42.87,25.85,29.7,23.37,23.37
126,MSH,3.18,40.99,79.6,20.96,93.3,46.97,17.06,"105,065.93","108,262.07",111.92,38.84,24.76,,,,23.21
127,IDC,4.16,26.03,62.0,14.97,95.0,27.28,15.85,"1,033,143.63","1,898,240.15",47.94,87.4,50.28,24.23,,,23.2
128,SPI,6.01,2.8,9.7,0.6,21.3,4.22,4.71,"342,083.09","406,748.85",212.9,211.45,152.86,34.1,34.55,23.01,22.97
129,C47,6.0,6.24,21.3,5.21,26.3,9.53,3.59,"107,766.50","158,162.40",133.3,62.93,23.23,22.67,28.95,22.7,22.7
130,VPH,6.0,3.92,12.95,2.98,19.35,5.14,1.97,"251,370.44","517,657.46",195.46,87.03,48.46,18.75,30.73,22.04,22.04
131,FCM,6.0,2.84,9.28,2.61,13.15,5.08,1.52,"161,037.74","291,630.34",61.73,36.3,23.02,22.49,19.88,21.79,21.79
132,DCM,6.0,8.3,27.0,4.82,40.25,10.88,6.84,"1,810,939.63","2,264,636.74",121.09,126.07,55.04,27.96,31.54,21.73,21.73
133,AAV,3.62,10.76,21.9,3.73,32.1,10.92,6.41,"358,619.79","400,764.58",72.73,120.21,40.05,19.45,,,21.69
134,PV2,6.01,2.2,7.1,1.5,10.5,2.99,1.32,"130,509.71","290,513.70",102.86,56.47,31.82,27.34,34.72,21.56,21.52
135,MSN,6.0,44.49,143.0,37.02,172.0,73.73,30.17,"1,004,613.21","1,048,631.25",68.96,71.16,23.45,12.24,27.97,21.48,21.48
136,STB,6.0,11.2,35.55,7.3,35.55,14.26,6.15,"10,069,474.45","12,103,515.34",110.36,78.56,42.44,21.62,29.0,21.23,21.23
137,HAH,6.0,20.13,63.0,7.29,75.7,19.18,15.14,"394,270.12","662,023.68",320.22,161.23,83.49,48.3,28.42,20.95,20.95
138,CTG,6.0,11.79,36.9,10.07,41.14,19.01,7.26,"5,565,756.79","5,320,469.10",59.98,35.64,35.94,16.14,22.91,20.94,20.94
139,HUT,6.01,7.04,21.5,1.3,21.7,6.52,3.83,"2,513,038.11","2,985,068.30",411.9,219.97,81.43,23.83,19.58,20.46,20.43
140,VTO,6.0,3.85,11.7,3.46,14.3,6.4,2.11,"186,066.88","364,121.96",43.81,37.64,25.78,19.29,19.61,20.37,20.37
