,Symbol,Count Year,From,To,Min,Max,Mean Price,STD Price,Mean Volume,STD Volume,Year 1,Year Full
93,TNG,1.0,20.68,38.7,17.29,40.0,27.0,5.85,"2,663,367.95","1,432,738.07",87.15,87.15
94,VPI,1.0,32.91,61.2,30.59,65.1,43.91,11.91,"1,054,213.55","395,338.68",85.97,85.97
95,VCI,1.0,30.45,56.1,28.97,79.29,56.03,13.08,"3,623,565.34","2,108,807.41",84.24,84.24
96,SAM,1.0,10.35,19.0,7.95,27.78,14.87,5.66,"1,438,786.06","1,672,620.83",83.66,83.66
97,EIB,1.0,20.1,36.9,20.1,37.5,28.53,4.37,"809,044.62","633,432.87",83.58,83.58
98,PV2,1.0,4.0,7.3,2.8,10.5,5.59,2.24,"534,061.82","499,945.84",82.5,82.5
99,PAS,1.0,13.56,24.7,13.07,25.2,18.53,4.12,"1,460,658.10","980,470.97",82.21,82.21
100,NLG,1.0,30.95,56.4,30.16,65.2,44.64,10.74,"4,119,352.59","2,539,436.10",82.2,82.2
101,FCM,1.0,6.09,11.1,5.46,13.15,7.96,2.32,"441,468.13","565,878.16",82.18,82.18
102,VTO,1.0,8.52,15.45,7.88,15.75,11.3,2.25,"707,952.59","666,759.20",81.32,81.32
103,LHG,1.0,31.95,57.4,31.95,57.5,47.2,6.75,"476,788.05","382,310.69",79.68,79.68
104,SBS,1.0,8.1,14.4,7.4,21.1,13.96,3.18,"3,770,651.97","2,751,335.10",77.78,77.78
105,GMD,1.0,33.01,58.4,31.2,59.0,45.75,6.63,"3,033,529.08","1,575,852.12",76.92,76.92
106,NVL,1.0,45.29,80.1,45.29,92.37,78.64,8.08,"2,975,935.86","1,363,105.11",76.88,76.88
107,PLC,1.0,27.37,48.2,23.25,51.2,36.71,8.61,"661,613.24","465,287.14",76.11,76.11
108,MIG,1.0,15.0,26.4,14.41,28.85,21.69,4.22,"710,113.55","593,172.36",76.0,76.0
109,LIG,1.0,8.2,14.3,6.3,20.8,11.69,4.38,"1,375,185.44","1,012,313.14",74.39,74.39
110,CMX,1.0,13.53,23.5,11.39,24.2,15.66,3.26,"995,535.46","1,068,241.20",73.65,73.65
111,LCG,1.0,11.93,20.6,8.9,25.45,15.63,4.75,"5,305,706.37","3,296,893.60",72.7,72.7
112,HHS,1.0,6.17,10.65,4.81,12.55,7.67,2.38,"4,381,174.50","2,873,916.87",72.58,72.58
113,MWG,1.0,86.2,145.8,86.2,146.5,118.74,17.77,"1,130,182.47","613,672.97",69.13,69.13
114,AGR,1.0,11.75,19.85,10.5,27.7,17.46,4.58,"2,431,315.94","1,728,244.52",68.94,68.94
115,BWE,1.0,30.85,51.9,28.02,53.2,39.58,6.75,"424,959.36","287,906.99",68.25,68.25
116,SSB,1.0,22.66,38.05,21.01,42.41,33.06,5.06,"2,134,225.50","729,572.37",67.93,67.93
117,BVS,1.0,21.86,36.7,19.52,44.7,32.37,6.29,"757,958.27","538,845.05",67.89,67.89
118,G36,1.0,12.37,20.3,8.2,26.5,14.46,5.09,"1,488,281.13","1,112,806.52",64.17,64.17
119,ABB,1.0,9.8,15.9,9.8,18.2,14.74,1.69,"2,963,047.41","2,105,939.66",62.18,62.18
120,FPT,1.0,66.17,107.0,66.17,107.0,89.29,8.98,"2,210,602.79","1,268,787.25",61.7,61.7
121,PDR,1.0,55.51,89.5,55.51,99.0,86.48,9.41,"3,853,294.82","1,084,701.33",61.24,61.24
122,MBB,1.0,20.85,32.95,20.85,34.4,28.75,2.89,"16,783,062.95","8,460,626.25",58.02,58.02
123,PVS,1.0,22.17,34.7,18.7,39.4,26.97,4.17,"10,826,658.69","5,087,051.66",56.54,56.54
124,PVT,1.0,16.42,25.7,15.41,29.1,21.49,3.34,"4,584,894.42","2,716,661.79",56.51,56.51
125,REE,1.0,52.6,81.7,50.8,81.7,63.81,8.14,"733,882.87","462,986.28",55.32,55.32
126,VGT,1.0,17.41,27.0,14.26,29.99,21.32,4.33,"4,503,591.95","2,962,201.92",55.12,55.12
127,MSR,1.0,21.0,32.3,18.3,33.5,23.93,3.91,"871,387.33","618,161.94",53.81,53.81
128,NAB,1.0,13.28,20.4,13.28,22.82,18.57,1.84,"368,749.61","298,008.43",53.57,53.57
129,GIL,1.0,58.85,90.1,43.44,91.6,64.3,10.28,"493,878.88","311,021.95",53.1,53.1
130,AGG,1.0,32.48,49.65,32.09,52.3,38.83,4.97,"1,345,328.29","910,449.50",52.86,52.86
131,CTR,1.0,71.72,109.0,55.66,109.0,80.04,9.83,"709,984.10","399,699.52",51.98,51.98
132,FUEVFVND,1.0,19.89,30.08,19.89,30.08,26.06,2.26,"1,474,925.90","1,894,017.23",51.23,51.23
133,MSB,1.0,16.81,25.4,16.35,29.0,23.1,3.14,"7,946,723.11","4,699,713.74",51.12,51.12
134,MHC,1.0,8.0,12.05,8.0,17.4,12.37,1.89,"1,617,068.13","1,245,667.53",50.63,50.63
135,VPB,1.0,24.8,37.2,24.8,40.39,35.42,3.01,"16,294,045.42","12,169,193.17",49.97,49.97
136,VIX,1.0,15.2,22.55,9.99,28.12,17.59,4.94,"5,433,264.14","3,351,110.59",48.4,48.4
137,KOS,1.0,24.6,36.4,24.6,37.2,30.37,3.04,"324,558.17","112,692.61",47.97,47.97
138,STB,1.0,21.45,31.7,21.0,35.85,28.97,3.29,"25,951,180.48","14,414,492.40",47.79,47.79
139,PHR,1.0,54.75,80.8,44.49,84.6,60.06,12.65,"762,626.29","396,101.24",47.58,47.58
140,BII,1.0,8.2,12.1,6.5,31.0,12.55,4.58,"2,511,074.12","1,752,089.94",47.56,47.56
141,DBC,1.0,51.04,75.0,46.21,79.5,62.36,10.15,"1,980,225.10","1,039,327.17",46.93,46.93
142,SHI,1.0,11.33,16.5,11.33,23.27,17.0,2.41,"1,134,158.17","762,930.81",45.67,45.67
143,GEG,1.0,18.38,26.5,13.51,28.4,19.41,4.06,"1,157,130.68","849,967.21",44.15,44.15
144,BVB,1.0,13.6,19.6,13.4,26.4,20.28,2.88,"3,061,879.51","2,142,638.40",44.12,44.12
145,NTL,1.0,24.95,35.9,21.98,43.62,32.35,6.33,"1,380,005.18","936,414.89",43.87,43.87
146,TDM,1.0,27.92,39.9,25.17,39.9,31.21,4.07,"503,767.73","379,281.24",42.89,42.89
147,PHC,1.0,10.28,14.65,10.28,21.3,15.04,2.31,"796,576.49","629,407.79",42.52,42.52
148,BCE,1.0,11.77,16.6,10.15,22.85,14.57,3.53,"512,223.11","442,451.68",41.05,41.05
149,LPB,1.0,15.49,21.65,15.49,30.22,22.58,2.66,"10,667,578.88","6,814,398.36",39.76,39.76
150,SMC,1.0,29.51,41.15,29.16,55.04,42.29,6.63,"724,579.68","474,985.49",39.46,39.46
151,KBC,1.0,38.15,53.1,30.5,62.1,44.88,9.02,"9,435,013.94","4,871,122.08",39.19,39.19
152,CTF,1.0,19.34,26.9,17.97,26.9,19.9,1.59,"320,478.09","119,212.99",39.1,39.1
153,ITQ,1.0,6.55,9.0,4.2,11.4,7.6,2.08,"794,476.72","746,071.22",37.3,37.3
154,PVB,1.0,17.17,23.4,11.89,27.8,16.77,3.3,"240,349.98","204,353.85",36.27,36.27
155,VIB,1.0,34.57,47.05,33.25,52.86,42.43,4.85,"1,788,044.22","1,291,545.10",36.09,36.09
156,DTD,1.0,33.03,44.6,26.46,58.1,38.27,8.11,"246,461.36","181,114.39",35.03,35.03
157,OCB,1.0,19.32,25.4,17.64,30.5,24.51,2.78,"4,087,025.50","2,690,412.78",31.47,31.47
158,HPG,1.0,34.41,45.1,34.41,58.0,48.35,4.72,"25,394,427.89","10,606,468.74",31.07,31.07
159,BCM,1.0,56.49,73.4,38.91,84.5,56.84,12.2,"300,796.81","352,946.59",29.94,29.94
160,TEG,1.0,11.92,15.2,11.7,17.6,13.97,1.32,"326,287.65","294,164.76",27.5,27.5
161,AAT,1.0,10.78,13.7,10.78,21.5,16.71,2.52,"787,445.42","507,180.40",27.08,27.08
162,VTD,1.0,18.8,23.6,11.2,26.4,16.27,3.45,"183,852.93","168,496.91",25.53,25.53
163,GVR,1.0,27.36,34.0,23.03,42.1,33.83,4.56,"4,033,894.02","2,167,885.00",24.27,24.27
164,ACB,1.0,26.64,33.05,26.0,37.95,32.7,2.42,"7,355,253.78","4,522,360.72",24.06,24.06
165,FIT,1.0,10.85,13.1,9.78,21.35,14.19,2.25,"8,240,835.46","5,330,565.74",20.74,20.74
166,DHC,1.0,66.13,79.7,66.13,96.1,83.02,6.98,"317,721.91","337,015.76",20.52,20.52
